#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  211.9100	    28.6900	     1.2543	  2274.6118	    22.0343	  2296.6461	   561.7400	   561.7400	   549.3400	   305.5700	     4.7890	     6.8700	   776.4600	 regenerative cooling, opposite flow	 
  215.0800	    29.7700	     1.1531	  2098.8284	    19.6852	  2118.5135	   554.9900	   554.9900	   543.5400	   304.9500	     4.7900	     6.6100	   777.0800	 regenerative cooling, opposite flow	 
  218.2500	    30.8400	     1.0650	  1945.0872	    17.8803	  1962.9674	   548.7400	   548.7400	   538.1300	   304.3500	     4.7910	     6.3800	   777.6700	 regenerative cooling, opposite flow	 
  221.4300	    31.8800	     0.9881	  1810.3134	    16.3267	  1826.6401	   542.9900	   542.9900	   533.1100	   303.7800	     4.7920	     6.1700	   778.2300	 regenerative cooling, opposite flow	 
  224.6000	    32.9000	     0.9206	  1691.5147	    15.0102	  1706.5249	   537.6600	   537.6600	   528.4300	   303.2300	     4.7930	     5.9700	   778.7800	 regenerative cooling, opposite flow	 
  227.7700	    33.9000	     0.8607	  1585.8212	    13.8253	  1599.6465	   532.6500	   532.6500	   523.9800	   302.6900	     4.7940	     5.7900	   779.3100	 regenerative cooling, opposite flow	 
  230.9400	    34.8700	     0.8077	  1491.9036	    12.8127	  1504.7163	   528.0000	   528.0000	   519.8400	   302.1800	     4.7950	     5.6300	   779.8200	 regenerative cooling, opposite flow	 
  234.1200	    35.8300	     0.7604	  1407.9147	    11.9497	  1419.8645	   523.6500	   523.6500	   515.9500	   301.6800	     4.7960	     5.4700	   780.3100	 regenerative cooling, opposite flow	 
  237.2900	    36.7500	     0.7181	  1332.5228	    11.1732	  1343.6960	   519.5600	   519.5600	   512.2700	   301.1900	     4.7970	     5.3300	   780.7900	 regenerative cooling, opposite flow	 
  240.4600	    37.6600	     0.6802	  1264.7552	    10.4554	  1275.2106	   515.7400	   515.7400	   508.8100	   300.7200	     4.7970	     5.2000	   781.2600	 regenerative cooling, opposite flow	 
  243.6400	    38.5400	     0.6461	  1203.6137	     9.8103	  1213.4240	   512.1600	   512.1600	   505.5500	   300.2600	     4.7980	     5.0800	   781.7100	 regenerative cooling, opposite flow	 
  246.8100	    39.3900	     0.6152	  1148.0518	     9.2911	  1157.3429	   508.9100	   508.9100	   502.6000	   299.8100	     4.7990	     4.9700	   782.1500	 regenerative cooling, opposite flow	 
  252.7300	    40.9100	     0.5650	  1057.3902	     8.3346	  1065.7248	   503.6100	   503.6100	   497.7900	   299.0000	     4.8000	     4.7800	   782.9300	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
